,Unnamed: 0,full_name,speciality,level,area,salary,employer,schedule,remote,skills,date,python,sql,pytorch,apache,git,java,eng
36,36,Data Engineer (middle),data engineer,middle,Москва,0,other,0,1,"{'requirement': 'Хорошее знание устройства Spark, PySpark. Знание SQL. Опыт разработки на Python. Понимание основных концепций DWH. Понимание базовых команд Git и...', 'responsibility': '...и обрабатывать данные из различных источников. Поддерживать и развивать базы знаний. Предоставлять экспертную поддержку внутренним потребителям (<highlighttext>data</highlighttext> <highlighttext>analysts</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>).'}",2022-12-05,1,1,1,0,1,0,Moscow
37,37,Data engineer / Data scientist / Руководитель отдела аналитики,data engineer,unknown,Москва,1,other,1,0,"{'requirement': 'Высшее техническое образование (приветствуются выпускники МФТИ, МГУ, НИУ ВШЭ). Опыт работы <highlighttext>аналитиком</highlighttext> от 3-х лет. Системность. Мышление в цифрах...', 'responsibility': 'Анализ и обработка данных. Написание функций SQL. Нахождение аномалий по ключевым параметрам. Тестирование и исследование гипотез. Работа с хранилищем данных.'}",2022-11-25,0,1,1,0,0,0,Moscow
38,38,Data Engineer направления разработки витрин данных,data engineer,unknown,Москва,0,other,1,0,"{'requirement': 'Будет плюсом: Опыт работы с банковскими данными. Опыт работы с различными СУБД в роли разработчика/<highlighttext>аналитика</highlighttext> витрин данных. ', 'responsibility': 'Заниматься проектированием и разработкой витрин данных для анализа и моделирования. Заниматься мониторингом и оптимизацией процессов сборки витрин. Заниматься загрузкой и...'}",2022-12-07,0,0,1,0,0,0,Moscow
39,39,Data engineer\analyst (развитие источников данных Big Data),data engineer,unknown,Москва,0,other,1,0,"{'requirement': 'Отличное владение PySpark, Python, SQL (продвинутый уровень). Уверенные знания в оптимизации Spark приложений. Опыт работы c Airflow. Знание принципов feature...', 'responsibility': 'Основной миссией нашей команды является создание прототипов таблиц фичей и данных для команд <highlighttext>Data</highlighttext> <highlighttext>Scientists</highlighttext> и <highlighttext>Data</highlighttext> <highlighttext>Analysts</highlighttext>. '}",2022-12-05,1,1,1,0,0,0,Moscow
40,40,Data scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Профильный опыт работы в банке в области оценки кредитных рисков. Знание SQL на уровне написания сложных запросов, разработки и автоматизации...', 'responsibility': 'Формирование и сопровождение витрин данных для целей моделирования, прогнозирования и <highlighttext>data</highlighttext>-<highlighttext>аналитики</highlighttext>. Статистический анализ факторов риска. Расширение, автоматизация и систематизация...'}",2022-12-13,0,1,1,0,0,0,Moscow
41,41,Data Scientist,data scientist,unknown,Москва,1,other,1,0,"{'requirement': 'Разбираешься в математической статистике и теории вероятностей и знаешь, как проводить A/B тестирования. Анализировать большие объёмы информации, чтобы выявить...', 'responsibility': 'Предлагать решения и стратегии для бизнес-задач. Взаимодействовать со стейкхолдерами, <highlighttext>аналитиками</highlighttext>, командой разработки. Аудио (музыка, голос). Текст. Видео (видео ряд...'}",2022-12-09,0,0,1,0,0,0,Moscow
42,42,Data Scientist,data scientist,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Опыт работы в области <highlighttext>Data</highlighttext> Science от 2 лет. Хорошее знание алгоритмов машинного обучения, нейронных сетей. Python, библиотеки для работы...', 'responsibility': 'Исследование источников данных, обеспечение сбора данных. Составление требований для <highlighttext>Data</highlighttext> Engineer по разработке новых витрин/объектов. Построение и проверка гипотез...'}",2022-12-13,1,0,1,0,0,0,Moscow
43,43,Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Базовые знания алгоритмов и структур данных и математики для машинного обучения. Знания и промышленный опыт в машинном обучении (в том...', 'responsibility': 'Искать возможности применения <highlighttext>data</highlighttext> science для бизнеса. Переводить нужды бизнеса в <highlighttext>data</highlighttext> science задачи. Взаимодействовать с командами дата инженерии, <highlighttext>аналитики</highlighttext>...'}",2022-12-06,0,0,1,0,0,0,Moscow
44,44,Data scientist,data scientist,unknown,Санкт-Петербург,0,other,1,1,"{'requirement': 'Опыт коммерческой разработки на Python от 2 лет. Опыт работа с библиотеками по анализу данных. Знание алгоритмов и структур данных. ', 'responsibility': 'Разработка новых модулей системы для бэктестинга стратегий с произвольной торговой логикой, формулируемой <highlighttext>аналитиками</highlighttext>, оптимизация расчётов и работы системы. '}",2022-12-09,1,0,1,0,0,0,Saint Petersburg
45,45,Data scientist,data scientist,unknown,Москва,0,other,0,1,"{'requirement': 'Опыт коммерческой разработки на Python от 2 лет. Опыт работа с библиотеками по анализу данных. Знание алгоритмов и структур данных. ', 'responsibility': 'Разработка новых модулей системы для бэктестинга стратегий с произвольной торговой логикой, формулируемой <highlighttext>аналитиками</highlighttext>, оптимизация расчётов и работы системы. '}",2022-12-09,1,0,1,0,0,0,Moscow
46,46,Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Опыт обработки данных с использованием SQL/Python/SAS. Ответственность, внимательность, аккуратность, энтузиазм к работе. Навыки работы с EMBLEM, RADAR и...', 'responsibility': 'Выгрузка актуарных отчетов для всех линий бизнеса. Построение дополнительных отчетов и <highlighttext>аналитик</highlighttext> для андеррайтинга в SAS и Excel. '}",2022-12-09,1,1,1,0,0,0,Moscow
