,vacancy_name,company_name,city,date,workplace_type,area,level,speciality,schedule,salary,python,sql,apache,java
23,Medior Data Scientist | Fitch Data,Cooder,Голладния,1 месяц назад,Гибридный формат работы,Голладния,middle,data scientist,1,0,0,0,0,0
24,Principal Data Scientist,PostNL,"Гаага, Южная Голландия, Голландия",9 часов назад,Гибридный формат работы,Голландия,middle,data scientist,1,0,0,0,0,0
25,Analityk/Analityczka Danych HR,GFT Group,"Краков, Малое польское воеводство, Польша",2 недели назад,Гибридный формат работы,Польша,middle,unknown,1,0,0,0,0,0
26,Data Scientist (m_f) Vollzeit | unbefristet,Technische Universität Wien,"Вена, Вена, Австрия",2 дня назад,Работа в офисе,Австрия,middle,data scientist,1,0,1,1,0,1
27,Stage Bac +5 - Data scientist - analyst - engineer - (H/F),Volvo Group,"Лион, Овернь-Рона-Альпы, Франция",1 неделю назад,Работа в офисе,Франция,middle,data engineer,1,0,1,0,0,0
28,Data Scientist / Machine Learning Engineer,Capgemini,"Милан, Ломбардия, Италия",1 день назад,Работа в офисе,Италия,senior,data engineer,1,0,1,0,0,0
29,Experienced Data Scientist/ Machine Learning Engineer,Capgemini,"Стокгольм, Лен Стокгольм, Швеция",1 неделю назад,Работа в офисе,Швеция,middle,data engineer,1,0,1,0,0,0
30,Senior Data Scientist,Michael Page,"Гаага, Южная Голландия, Голландия",1 неделю назад,Работа в офисе,Голландия,senior,data scientist,1,0,1,1,0,0
31,Senior Data Scientist (w/d/m),Haufe Group,"Фрайбург-в-Брайсгау, Баден-Вюртемберг, Германия",1 неделю назад,Работа в офисе,Германия,senior,data scientist,1,0,1,1,0,0
32,Expert Data Scientist (m/f/d),Vodafone,"Дрезден, Саксония, Германия",1 месяц назад,Работа в офисе,Германия,middle,data scientist,1,0,1,1,0,0
33,Data Scientist / Machine Learning Engineer,Capgemini Engineering,"Милан, Ломбардия, Италия",2 дня назад,Гибридный формат работы,Италия,senior,data engineer,1,0,1,0,0,0
34,Data Scientist - Spanish Speaking,Shift Technology,Франция,1 день назад,Работа в офисе,Франция,middle,data scientist,1,0,0,1,0,0
35,Lead Data Scientist,Kontali,"Осло, Осло, Норвегия",2 дня назад,Гибридный формат работы,Норвегия,team lead,data scientist,1,0,0,0,0,0
36,"Data Scientist (f,m,x)",IONITY,Германия,1 неделю назад,Гибридный формат работы,Германия,middle,data scientist,1,0,1,0,0,0
37,Consumer Data Scientist,Philip Morris International,"Аспропиргос, Аттика, Греция",3 дня назад,Работа в офисе,Греция,middle,data scientist,1,0,1,1,0,0
38,Data Scientist Commercial Analytics,Bayer,Польша,3 недели назад,Гибридный формат работы,Польша,middle,data scientist,1,0,1,0,0,0
39,Customer Facing Data Scientist,Alldus,"Ribnica na Pohorju, Словения",2 недели назад,Гибридный формат работы,Словения,middle,data scientist,1,0,0,1,0,0
40,Data Scientist / Data ingénieur H/F - STAGE,Harmonie Mutuelle,"Ренн, Бретань, Франция",2 дня назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,0
41,Senior data scientist,Dienst Justitiële Inrichtingen (DJI),"Гаага, Южная Голландия, Голландия",4 дня назад,Работа в офисе,Голландия,senior,data scientist,1,0,1,0,0,0
42,Datascientist / dataengineer - STAGE H/F,Thales,"Sophia Antipolis, Прованс-Альпы-Лазурный Берег, Франция",1 неделю назад,Гибридный формат работы,Франция,middle,data engineer,1,0,0,0,0,0
43,Data scientist (H/F),Manpower France,"Бур-ле-Валанс, Овернь-Рона-Альпы, Франция",1 месяц назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,0
44,Data Scientist (w/m/d) - Data Analytics,IONOS,"Карлсруе, Баден-Вюртемберг, Германия",1 день назад,Работа в офисе,Германия,middle,data scientist,1,0,1,1,0,0
45,Senior Data Scientist - Insights (Product),Preply.com,Испания,3 дня назад,Удаленная работа,Испания,senior,data scientist,1,0,0,0,0,0
